USN,Internal 1,Internal 2,Internal 3,Lab Marks,Assignment,Seminar(Discipline),Seminar(Report),Seminar(Presentation),Overall Feedback
4CB21CB054,17,19,18,9,10,3,5,12,"Strong in lab performance, but needs more focus on theory."
4CB21CB055,18,19,17,9,9,3,5,12,"Lab performance is good, needs improvement in theory."
4CB21CB056,16,15,17,8,9,3,4,11,"Lab performance is solid, focus on theory and assignments."
4CB21CB057,12,14,15,7,7,2,4,9,"Lab work is good, but needs improvement in theory and assignments."
4CB21CB058,20,18,20,10,10,3,5,12,Excellent in both lab and theory. Keep balancing all areas.
4CB21CB059,17,18,16,9,9,3,5,11,"Lab work is consistent, but needs more effort in theory."
4CB21CB060,14,13,12,7,6,2,4,9,"Strong in lab work, but theory and assignments need focus."
4CB21CB061,16,17,18,8,9,3,5,11,"Good in lab, but needs improvement in theory and assignments."
4CB21CB062,14,13,14,7,8,2,4,9,"Lab performance is fine, needs more focus on theory."
4CB21CB063,15,18,16,8,9,3,5,10,"Lab work is consistent, but focus on theory and assignments."
4CB21CB064,13,14,12,6,7,2,4,8,"Lab skills are good, theory needs more focus."
4CB21CB065,18,20,19,9,10,3,5,12,"Excellent in lab, continue working on theoretical topics."
4CB21CB066,16,17,15,8,9,3,4,10,"Lab performance is solid, theory requires focus."
4CB21CB067,17,18,19,9,10,3,5,12,"Strong in practicals, theory needs improvement."
4CB21CB068,14,15,13,7,8,2,5,10,"Good lab skills, more attention to theory and assignments."
4CB21CB069,19,18,20,10,10,3,5,12,"Excellent in both lab and theory, keep balancing both."
4CB21CB070,16,16,15,8,9,3,4,10,"Lab work is good, needs more focus on theory."
4CB21CB071,13,14,12,7,6,2,4,9,"Lab performance is fine, theory needs more attention."
4CB21CB072,15,18,16,9,9,3,5,11,"Strong in lab, needs improvement in theory."
4CB21CB073,14,17,15,8,9,3,5,10,"Needs to focus on theory, lab performance is good."
4CB21CB074,16,18,17,9,10,3,5,12,"Lab performance is solid, improve theoretical knowledge."
4CB21CB075,13,14,12,7,8,2,4,9,"Lab work is fine, theory needs more revision."
4CB21CB076,18,19,18,9,10,3,5,12,"Strong in lab and theory, continue balancing both."
4CB21CB077,19,18,20,10,10,3,5,12,"Excellent performance in both lab and theory, maintain consistency."
4CB21CB078,14,16,15,8,8,3,5,11,"Lab performance is fine, needs more effort in theory."
4CB21CB079,17,19,18,9,10,3,5,12,"Strong in lab, theory needs more work."
4CB21CB080,16,17,15,8,9,3,4,11,"Needs more focus on theory, lab work is strong."
4CB21CB081,18,19,20,10,10,3,5,12,"Excellent in both lab and theory, continue to perform well."
4CB21CB082,15,16,14,8,9,3,5,11,"Lab work is good, theory requires improvement."
4CB21CB083,14,15,13,7,8,2,4,9,"Lab performance is good, but needs improvement in theory."
4CB21CB084,18,19,17,9,10,3,5,12,"Excellent in both practicals and theory, maintain consistency."
4CB21CB085,16,18,16,8,9,3,5,11,"Needs improvement in theory, lab performance is good."
4CB21CB086,19,20,19,10,10,3,5,12,"Strong in both theory and practicals, keep it up."
4CB21CB087,14,15,14,7,8,2,5,10,"Lab skills are good, needs more focus on theory."
4CB21CB088,16,17,15,8,9,3,4,10,"Lab work is solid, focus more on theory and assignments."
4CB21CB089,18,19,18,9,10,3,5,12,"Excellent performance, needs to continue balancing both."
4CB21CB090,14,16,15,7,8,2,4,9,"Needs more focus on theory, lab work is good."
4CB21CB091,19,18,20,10,10,3,5,12,"Excellent in lab and theory, needs more effort on assignments."
4CB21CB092,16,17,15,8,9,3,4,10,"Lab work is strong, needs improvement in theory."
4CB21CB093,14,16,14,7,8,2,5,10,"Lab work is fine, more focus on theory is needed."
4CB21CB094,17,18,19,9,10,3,5,12,"Strong in practicals, theory needs improvement."
4CB21CB095,16,17,15,8,9,3,4,11,"Lab performance is solid, needs more focus on theory."
4CB21CB096,19,20,18,10,10,3,5,12,Excellent performance in both practicals and theory.
4CB21CB097,14,15,13,7,8,2,5,10,"Lab performance is good, more effort needed in theory."
4CB21CB098,18,19,17,9,10,3,5,12,"Strong performance, continue balancing theory and lab work."
4CB21CB099,17,18,19,9,10,3,5,12,"Excellent in both practicals and theory, maintain consistency."
4CB21CB100,15,17,16,8,9,3,5,11,"Good in both theory and lab, needs to focus more on assignments."
4CB21CB101,16,18,17,9,9,3,5,11,"Needs improvement in theory, lab work is solid."
4CB21CB102,17,16,18,9,10,3,5,12,"Excellent in lab, needs more focus on theory."
4CB21CB103,14,15,13,7,8,2,4,9,"Needs improvement in theory, lab performance is fine."
4CB21CB104,15,18,16,8,9,3,5,11,"Good in both theory and lab, requires more attention to assignments."
4CB21CB105,16,17,15,8,9,3,4,10,"Lab performance is strong, focus more on theory and assignments."
4CB21CB106,19,20,18,10,10,3,5,12,"Excellent in both theory and lab, needs to continue balancing both."
4CB21CB107,18,19,17,9,10,3,5,12,"Strong in lab and theory, maintain consistency."
4CB21CB108,14,15,13,7,8,2,5,10,"Lab performance is good, needs more effort in theory and assignments."
4CB21CB109,17,18,19,9,10,3,5,12,"Good in practicals, needs improvement in theory."
4CB21CB110,16,17,15,8,9,3,4,10,"Solid in lab, theory needs more focus."
4CB21CB111,14,16,15,7,8,2,5,10,"Lab work is fine, theory needs improvement."
4CB21CB112,19,20,18,10,10,3,5,12,Excellent performance in both theory and lab.
4CB21CB113,17,16,18,9,10,3,5,12,"Strong in lab and theory, maintain consistency."
4CB21CB114,14,15,13,7,8,2,4,9,"Needs improvement in theory, good lab performance."
4CB21CB115,16,17,16,8,9,3,5,11,"Good in both lab and theory, needs more focus on assignments."
4CB21CB116,18,19,18,9,10,3,5,12,"Excellent in both theory and lab, needs to continue balancing both."
4CB21CB117,15,16,14,8,9,3,5,11,"Strong in theory and lab, needs to focus more on assignments."
4CB21CB118,14,15,13,7,8,2,4,9,"Needs more effort in theory, good in practicals."
4CB21CB119,16,18,17,9,9,3,5,11,"Lab performance is strong, needs more focus on theory and assignments."
4CB21CB120,19,20,19,10,10,3,5,12,"Excellent in both practicals and theory, continue performing well."
4CB21CB121,15,18,16,8,9,3,4,10,"Good in lab work, but theory needs more focus."
4CB21CB122,13,17,14,7,8,2,5,11,"Lab work is good, but theory needs improvement."
4CB21CB123,19,16,18,9,10,3,5,12,"Excellent in lab, improve theory and assignments."
4CB21CB124,10,12,15,6,7,2,4,9,"Good in practicals, but theory requires focus."
4CB21CB125,14,15,16,9,8,3,5,11,"Lab performance is good, needs improvement in theory."
4CB21CB126,18,19,20,10,10,3,5,12,"Excellent in lab and theory, continue balancing both."
4CB21CB127,11,13,10,7,6,2,4,8,"Lab work is good, focus on theory and revision."
4CB21CB128,16,14,13,8,9,3,5,10,"Good in lab, but needs more revision for theory."
4CB21CB129,12,15,14,8,7,2,4,9,"Lab work is good, but performance in theory needs improvement."
4CB21CB130,17,18,19,9,10,3,5,12,"Strong in lab, but continue focusing on theory."
4CB21CB131,16,17,15,8,8,3,4,11,"Lab work is consistent, needs improvement in theory."
4CB21CB132,14,16,14,7,8,2,5,10,"Lab skills are good, but theory needs more work."
4CB21CB133,18,20,18,9,10,3,5,12,"Strong in both lab and theory, continue balancing both."
4CB21CB134,13,14,12,6,7,2,4,8,"Needs more focus on theory, lab performance is good."
4CB21CB135,20,19,20,10,10,3,5,12,"Excellent in both lab and theory, keep consistency."
4CB21CB136,14,15,16,8,9,3,5,11,Lab performance is good. Needs to focus more on theory.
4CB21CB137,19,20,19,10,10,3,5,12,Good in both lab and theory. Focus on assignments.
4CB21CB138,13,15,14,7,8,2,5,10,"Lab skills are good, but more effort is needed in theory."
4CB21CB139,15,16,14,8,9,3,5,11,"Lab work is good, needs more focus on theoretical topics."
4CB21CB140,17,18,19,9,10,3,5,12,"Excellent in practicals, theory needs improvement."
4CB21CB141,16,17,15,8,8,3,4,10,"Lab work is strong, theory requires improvement."
4CB21CB142,13,12,14,7,8,2,5,10,"Lab performance is good, but needs improvement in theory."
4CB21CB143,14,16,15,8,9,3,5,11,"Needs more focus on theory, lab work is fine."
4CB21CB144,17,19,18,9,10,3,5,12,"Strong in lab performance, but needs more focus on theory."
4CB21CB145,18,19,17,9,9,3,5,12,"Lab performance is good, needs improvement in theory."
4CB21CB146,16,15,17,8,9,3,4,11,"Lab performance is solid, focus on theory and assignments."
4CB21CB147,12,14,15,7,7,2,4,9,"Lab work is good, but needs improvement in theory and assignments."
4CB21CB148,20,18,20,10,10,3,5,12,Excellent in both lab and theory. Keep balancing all areas.
4CB21CB149,17,18,16,9,9,3,5,11,"Lab work is consistent, but needs more effort in theory."
4CB21CB150,14,13,12,7,6,2,4,9,"Strong in lab work, but theory and assignments need focus."
4CB21CB151,15,18,16,8,9,3,4,10,"Good in lab work, but theory needs more focus."
4CB21CB152,13,17,14,7,8,2,5,11,"Lab work is good, but theory needs improvement."
4CB21CB153,19,16,18,9,10,3,5,12,"Excellent in lab, improve theory and assignments."
4CB21CB154,10,12,15,6,7,2,4,9,"Good in practicals, but theory requires focus."
4CB21CB155,14,15,16,9,8,3,5,11,"Lab performance is good, needs improvement in theory."
4CB21CB156,18,19,20,10,10,3,5,12,"Excellent in lab and theory, continue balancing both."
4CB21CB157,11,13,10,7,6,2,4,8,"Lab work is good, focus on theory and revision."
4CB21CB158,16,14,13,8,9,3,5,10,"Good in lab, but needs more revision for theory."
4CB21CB159,12,15,14,8,7,2,4,9,"Lab work is good, but performance in theory needs improvement."
4CB21CB160,17,18,19,9,10,3,5,12,"Strong in lab, but continue focusing on theory."
4CB21CB161,16,17,15,8,8,3,4,11,"Lab work is consistent, needs improvement in theory."
4CB21CB162,14,16,14,7,8,2,5,10,"Lab skills are good, but theory needs more work."
4CB21CB163,18,20,18,9,10,3,5,12,"Strong in both lab and theory, continue balancing both."
4CB21CB164,13,14,12,6,7,2,4,8,"Needs more focus on theory, lab performance is good."
4CB21CB165,20,19,20,10,10,3,5,12,"Excellent in both lab and theory, keep consistency."
4CB21CB166,14,15,16,8,9,3,5,11,Lab performance is good. Needs to focus more on theory.
4CB21CB167,19,20,19,10,10,3,5,12,Good in both lab and theory. Focus on assignments.
4CB21CB168,13,15,14,7,8,2,5,10,"Lab skills are good, but more effort is needed in theory."
4CB21CB169,15,16,14,8,9,3,5,11,"Lab work is good, needs more focus on theoretical topics."
4CB21CB170,17,18,19,9,10,3,5,12,"Excellent in practicals, theory needs improvement."
4CB21CB171,16,17,15,8,8,3,4,10,"Lab work is strong, theory requires improvement."
4CB21CB172,13,12,14,7,8,2,5,10,"Lab performance is good, but needs improvement in theory."
4CB21CB173,14,16,15,8,9,3,5,11,"Needs more focus on theory, lab work is fine."
4CB21CB174,17,19,18,9,10,3,5,12,"Strong in lab performance, but needs more focus on theory."
4CB21CB175,18,19,17,9,9,3,5,12,"Lab performance is good, needs improvement in theory."
4CB21CB176,16,15,17,8,9,3,4,11,"Lab performance is solid, focus on theory and assignments."
4CB21CB177,12,14,15,7,7,2,4,9,"Lab work is good, but needs improvement in theory and assignments."
4CB21CB178,20,18,20,10,10,3,5,12,Excellent in both lab and theory. Keep balancing all areas.
4CB21CB179,17,18,16,9,9,3,5,11,"Lab work is consistent, but needs more effort in theory."
4CB21CB180,14,13,12,7,6,2,4,9,"Strong in lab work, but theory and assignments need focus."
4CB21CB181,16,17,18,8,9,3,5,11,"Good in lab, but needs improvement in theory and assignments."
4CB21CB182,14,13,14,7,8,2,4,9,"Lab performance is fine, needs more focus on theory."
4CB21CB183,15,18,16,8,9,3,5,10,"Lab work is consistent, but focus on theory and assignments."
4CB21CB184,13,14,12,6,7,2,4,8,"Lab skills are good, theory needs more focus."
4CB21CB185,18,20,19,9,10,3,5,12,"Excellent in lab, continue working on theoretical topics."
4CB21CB186,16,17,15,8,9,3,4,10,"Lab performance is solid, theory requires focus."
4CB21CB187,17,18,19,9,10,3,5,12,"Strong in practicals, theory needs improvement."
4CB21CB188,14,15,13,7,8,2,5,10,"Good lab skills, more attention to theory and assignments."
4CB21CB189,19,18,20,10,10,3,5,12,"Excellent in both lab and theory, keep balancing both."
4CB21CB190,16,16,15,8,9,3,4,10,"Lab work is good, needs more focus on theory."
4CB21CB191,13,14,12,7,6,2,4,9,"Lab performance is fine, theory needs more attention."
4CB21CB192,15,18,16,9,9,3,5,11,"Strong in lab, needs improvement in theory."
4CB21CB193,14,17,15,8,9,3,5,10,"Needs to focus on theory, lab performance is good."
4CB21CB194,16,18,17,9,10,3,5,12,"Lab performance is solid, improve theoretical knowledge."
4CB21CB195,13,14,12,7,8,2,4,9,"Lab work is fine, theory needs more revision."
4CB21CB196,18,19,18,9,10,3,5,12,"Strong in lab and theory, continue balancing both."
4CB21CB197,19,18,20,10,10,3,5,12,"Excellent performance in both lab and theory, maintain consistency."
4CB21CB198,14,16,15,8,8,3,5,11,"Lab performance is fine, needs more effort in theory."
4CB21CB199,17,19,18,9,10,3,5,12,"Strong in lab, theory needs more work."
4CB21CB200,16,17,15,8,9,3,4,11,"Needs more focus on theory, lab work is strong."
4CB21CB201,18,19,20,10,10,3,5,12,"Excellent in both lab and theory, continue to perform well."
4CB21CB202,15,16,14,8,9,3,5,11,"Lab work is good, theory requires improvement."
4CB21CB203,14,15,13,7,8,2,4,9,"Lab performance is good, but needs improvement in theory."
4CB21CB204,18,19,17,9,10,3,5,12,"Excellent in both practicals and theory, maintain consistency."
4CB21CB205,16,18,16,8,9,3,5,11,"Needs improvement in theory, lab performance is good."
4CB21CB206,19,20,19,10,10,3,5,12,"Strong in both theory and practicals, keep it up."
4CB21CB207,14,15,14,7,8,2,5,10,"Lab skills are good, needs more focus on theory."
4CB21CB208,16,17,15,8,9,3,4,10,"Lab work is solid, focus more on theory and assignments."
4CB21CB209,18,19,18,9,10,3,5,12,"Excellent performance, needs to continue balancing both."
4CB21CB210,14,16,15,7,8,2,4,9,"Needs more focus on theory, lab work is good."
4CB21CB211,19,18,20,10,10,3,5,12,"Excellent in lab and theory, needs more effort on assignments."
4CB21CB212,16,17,15,8,9,3,4,10,"Lab work is strong, needs improvement in theory."
4CB21CB213,14,16,14,7,8,2,5,10,"Lab work is fine, more focus on theory is needed."
4CB21CB214,17,18,19,9,10,3,5,12,"Strong in practicals, theory needs improvement."
4CB21CB215,16,17,15,8,9,3,4,11,"Lab performance is solid, needs more focus on theory."
4CB21CB216,19,20,18,10,10,3,5,12,Excellent performance in both practicals and theory.
4CB21CB217,14,15,13,7,8,2,5,10,"Lab performance is good, more effort needed in theory."
4CB21CB218,18,19,17,9,10,3,5,12,"Strong performance, continue balancing theory and lab work."
4CB21CB219,17,18,19,9,10,3,5,12,"Excellent in both practicals and theory, maintain consistency."
4CB21CB220,15,17,16,8,9,3,5,11,"Good in both theory and lab, needs to focus more on assignments."
4CB21CB221,16,18,17,9,9,3,5,11,"Needs improvement in theory, lab work is solid."
4CB21CB222,17,16,18,9,10,3,5,12,"Excellent in lab, needs more focus on theory."
4CB21CB223,14,15,13,7,8,2,4,9,"Needs improvement in theory, lab performance is fine."
4CB21CB224,15,18,16,8,9,3,5,11,"Good in both theory and lab, requires more attention to assignments."
4CB21CB225,16,17,15,8,9,3,4,10,"Lab performance is strong, focus more on theory and assignments."
4CB21CB226,19,20,18,10,10,3,5,12,"Excellent in both theory and lab, needs to continue balancing both."
4CB21CB227,18,19,17,9,10,3,5,12,"Strong in lab and theory, maintain consistency."
4CB21CB228,14,15,13,7,8,2,5,10,"Lab performance is good, needs more effort in theory and assignments."
4CB21CB229,17,18,19,9,10,3,5,12,"Good in practicals, needs improvement in theory."
4CB21CB230,16,17,15,8,9,3,4,10,"Solid in lab, theory needs more focus."
4CB21CB231,14,16,15,7,8,2,5,10,"Lab work is fine, theory needs improvement."
4CB21CB232,19,20,18,10,10,3,5,12,Excellent performance in both theory and lab.
4CB21CB233,17,16,18,9,10,3,5,12,"Strong in lab and theory, maintain consistency."
4CB21CB234,14,15,13,7,8,2,4,9,"Needs improvement in theory, good lab performance."
4CB21CB235,16,17,16,8,9,3,5,11,"Good in both lab and theory, needs more focus on assignments."
4CB21CB236,18,19,18,9,10,3,5,12,"Excellent in both theory and lab, needs to continue balancing both."
4CB21CB237,15,16,14,8,9,3,5,11,"Strong in theory and lab, needs to focus more on assignments."
4CB21CB238,14,15,13,7,8,2,4,9,"Needs more effort in theory, good in practicals."
4CB21CB239,16,18,17,9,9,3,5,11,"Lab performance is strong, needs more focus on theory and assignments."
4CB21CB240,19,20,19,10,10,3,5,12,"Excellent in both practicals and theory, continue performing well."
4CB21CB241,15,18,16,8,9,3,4,10,"Good in lab work, but theory needs more focus."
4CB21CB242,13,17,14,7,8,2,5,11,"Lab work is good, but theory needs improvement."
4CB21CB243,19,16,18,9,10,3,5,12,"Excellent in lab, improve theory and assignments."
4CB21CB244,10,12,15,6,7,2,4,9,"Good in practicals, but theory requires focus."
4CB21CB245,14,15,16,9,8,3,5,11,"Lab performance is good, needs improvement in theory."
4CB21CB246,18,19,20,10,10,3,5,12,"Excellent in lab and theory, continue balancing both."
4CB21CB247,11,13,10,7,6,2,4,8,"Lab work is good, focus on theory and revision."
4CB21CB248,16,14,13,8,9,3,5,10,"Good in lab, but needs more revision for theory."
4CB21CB249,12,15,14,8,7,2,4,9,"Lab work is good, but performance in theory needs improvement."
4CB21CB250,17,18,19,9,10,3,5,12,"Strong in lab, but continue focusing on theory."
4CB21CB251,16,17,15,8,8,3,4,11,"Lab work is consistent, needs improvement in theory."
4CB21CB252,14,16,14,7,8,2,5,10,"Lab skills are good, but theory needs more work."
4CB21CB253,18,20,18,9,10,3,5,12,"Strong in both lab and theory, continue balancing both."
4CB21CB254,13,14,12,6,7,2,4,8,"Needs more focus on theory, lab performance is good."
4CB21CB255,20,19,20,10,10,3,5,12,"Excellent in both lab and theory, keep consistency."
4CB21CB256,14,15,16,8,9,3,5,11,Lab performance is good. Needs to focus more on theory.
4CB21CB257,19,20,19,10,10,3,5,12,Good in both lab and theory. Focus on assignments.
4CB21CB258,13,15,14,7,8,2,5,10,"Lab skills are good, but more effort is needed in theory."
4CB21CB259,15,16,14,8,9,3,5,11,"Lab work is good, needs more focus on theoretical topics."
4CB21CB260,17,18,19,9,10,3,5,12,"Excellent in practicals, theory needs improvement."
4CB21CB261,16,17,15,8,8,3,4,10,"Lab work is strong, theory requires improvement."
4CB21CB262,13,12,14,7,8,2,5,10,"Lab performance is good, but needs improvement in theory."
4CB21CB263,14,16,15,8,9,3,5,11,"Needs more focus on theory, lab work is fine."
4CB21CB264,17,19,18,9,10,3,5,12,"Strong in lab performance, but needs more focus on theory."
4CB21CB265,18,19,17,9,9,3,5,12,"Lab performance is good, needs improvement in theory."
4CB21CB266,16,15,17,8,9,3,4,11,"Lab performance is solid, focus on theory and assignments."
4CB21CB267,12,14,15,7,7,2,4,9,"Lab work is good, but needs improvement in theory and assignments."
4CB21CB268,20,18,20,10,10,3,5,12,Excellent in both lab and theory. Keep balancing all areas.
4CB21CB269,17,18,16,9,9,3,5,11,"Lab work is consistent, but needs more effort in theory."
4CB21CB270,14,13,12,7,6,2,4,9,"Strong in lab work, but theory and assignments need focus."
4CB21CB271,15,18,16,8,9,3,4,10,"Good in lab work, but theory needs more focus."
4CB21CB272,13,17,14,7,8,2,5,11,"Lab work is good, but theory needs improvement."
4CB21CB273,19,16,18,9,10,3,5,12,"Excellent in lab, improve theory and assignments."
4CB21CB274,10,12,15,6,7,2,4,9,"Good in practicals, but theory requires focus."
4CB21CB275,14,15,16,9,8,3,5,11,"Lab performance is good, needs improvement in theory."
4CB21CB276,18,19,20,10,10,3,5,12,"Excellent in lab and theory, continue balancing both."
4CB21CB277,11,13,10,7,6,2,4,8,"Lab work is good, focus on theory and revision."
4CB21CB278,16,14,13,8,9,3,5,10,"Good in lab, but needs more revision for theory."
4CB21CB279,12,15,14,8,7,2,4,9,"Lab work is good, but performance in theory needs improvement."
4CB21CB280,17,18,19,9,10,3,5,12,"Strong in lab, but continue focusing on theory."
4CB21CB281,16,17,15,8,8,3,4,11,"Lab work is consistent, needs improvement in theory."
4CB21CB282,14,16,14,7,8,2,5,10,"Lab skills are good, but theory needs more work."
4CB21CB283,18,20,18,9,10,3,5,12,"Strong in both lab and theory, continue balancing both."
4CB21CB284,13,14,12,6,7,2,4,8,"Needs more focus on theory, lab performance is good."
4CB21CB285,20,19,20,10,10,3,5,12,"Excellent in both lab and theory, keep consistency."
4CB21CB286,14,15,16,8,9,3,5,11,Lab performance is good. Needs to focus more on theory.
4CB21CB287,19,20,19,10,10,3,5,12,Good in both lab and theory. Focus on assignments.
4CB21CB288,13,15,14,7,8,2,5,10,"Lab skills are good, but more effort is needed in theory."
4CB21CB289,15,16,14,8,9,3,5,11,"Lab work is good, needs more focus on theoretical topics."
4CB21CB290,17,18,19,9,10,3,5,12,"Excellent in practicals, theory needs improvement."
4CB21CB291,16,17,15,8,8,3,4,10,"Lab work is strong, theory requires improvement."
4CB21CB292,13,12,14,7,8,2,5,10,"Lab performance is good, but needs improvement in theory."
4CB21CB293,14,16,15,8,9,3,5,11,"Needs more focus on theory, lab work is fine."
4CB21CB294,17,19,18,9,10,3,5,12,"Strong in lab performance, but needs more focus on theory."
4CB21CB295,18,19,17,9,9,3,5,12,"Lab performance is good, needs improvement in theory."
4CB21CB296,16,15,17,8,9,3,4,11,"Lab performance is solid, focus on theory and assignments."
4CB21CB297,12,14,15,7,7,2,4,9,"Lab work is good, but needs improvement in theory and assignments."
4CB21CB298,20,18,20,10,10,3,5,12,Excellent in both lab and theory. Keep balancing all areas.
4CB21CB299,17,18,16,9,9,3,5,11,"Lab work is consistent, but needs more effort in theory."
4CB21CB300,14,13,12,7,6,2,4,9,"Strong in lab work, but theory and assignments need focus."
4CB21CB301,16,17,18,8,9,3,5,11,"Good in lab, but needs improvement in theory and assignments."
4CB21CB302,14,13,14,7,8,2,4,9,"Lab performance is fine, needs more focus on theory."
4CB21CB303,15,18,16,8,9,3,5,10,"Lab work is consistent, but focus on theory and assignments."
4CB21CB304,13,14,12,6,7,2,4,8,"Lab skills are good, theory needs more focus."
4CB21CB305,18,20,19,9,10,3,5,12,"Excellent in lab, continue working on theoretical topics."
4CB21CB306,16,17,15,8,9,3,4,10,"Lab performance is solid, theory requires focus."
4CB21CB307,17,18,19,9,10,3,5,12,"Strong in practicals, theory needs improvement."
4CB21CB308,14,15,13,7,8,2,5,10,"Good lab skills, more attention to theory and assignments."
4CB21CB309,19,18,20,10,10,3,5,12,"Excellent in both lab and theory, keep balancing both."
4CB21CB310,16,16,15,8,9,3,4,10,"Lab work is good, needs more focus on theory."
4CB21CB311,13,14,12,7,6,2,4,9,"Lab performance is fine, theory needs more attention."
4CB21CB312,15,18,16,9,9,3,5,11,"Strong in lab, needs improvement in theory."
4CB21CB313,14,17,15,8,9,3,5,10,"Needs to focus on theory, lab performance is good."
4CB21CB314,16,18,17,9,10,3,5,12,"Lab performance is solid, improve theoretical knowledge."
4CB21CB315,13,14,12,7,8,2,4,9,"Lab work is fine, theory needs more revision."
4CB21CB316,18,19,18,9,10,3,5,12,"Strong in lab and theory, continue balancing both."
